M1.H_b.cs Time [a],H,CA,HCO3,CO3,CO2aq,Omega
162400.0,7.120741197727266e-09,0.0022730939096399683,0.0020053963062735838,0.00013384880168319227,1.6496451207617235e-05,3.0550520809501607
162600.0,7.120971139290487e-09,0.002273072968996363,0.0020053854578793023,0.00013384375555853026,1.6496894665645563e-05,3.054936904919778
162800.0,7.121220142621182e-09,0.002273051404616966,0.0020053746907564827,0.0001338383569302417,1.6497382945960832e-05,3.0548136831174175
163000.0,7.121505889434044e-09,0.0022730276966431593,0.0020053632501958597,0.0001338322232236498,1.6497950801141028e-05,3.0546736834098973
163200.0,7.121774577692304e-09,0.002273004251819084,0.00200535147532249,0.0001338263882482971,1.64984763800322e-05,3.0545405021384218
163400.0,7.121967949194036e-09,0.0022729829786582267,0.002005339118521349,0.00013382193006843883,1.6498822684226288e-05,3.0544387457425337
163600.0,7.1220806544485816e-09,0.0022729668891589504,0.002005328660224484,0.0001338191144672333,1.649899773190208e-05,3.054374480629855
163800.0,7.122119184180157e-09,0.00227295357170379,0.00200531818827305,0.00013381769171537015,1.649900083053866e-05,3.054342006816227
164000.0,7.122117679940521e-09,0.002272941023450786,0.002005307067679516,0.00013381697788563502,1.6498905849813335e-05,3.0543257139022053
164200.0,7.122173543569009e-09,0.002272924557226054,0.002005294392346577,0.00013381508243973843,1.6498930973340292e-05,3.054282451012602
164400.0,7.122305997478934e-09,0.0022729067740126546,0.0020052830941193404,0.0001338118399466571,1.6499144850572623e-05,3.0542084422421762
164600.0,7.122497078061725e-09,0.0022728860918649015,0.002005271181518004,0.00013380745517344874,1.6499489479822457e-05,3.054108361327396
164800.0,7.122768552768822e-09,0.002272861362420218,0.002005258362553295,0.00013380149993346161,1.6500012880340045e-05,3.053972435057706
165000.0,7.123076257700738e-09,0.002272836579469805,0.0020052466963923835,0.00013379494153871073,1.6500629686313096e-05,3.053822741991504
165200.0,7.123386146637456e-09,0.002272815368712354,0.002005238253252421,0.0001337885577299665,1.6501278065733996e-05,3.0536770337898385
165400.0,7.123710895919508e-09,0.0022727944428933824,0.002005230552968539,0.00013378194496242181,1.6501966976164217e-05,3.0535260996836366
